Date, Country, Confirmed, Deaths, Recovered, Active 
2020-03-01T00:00:00Z, South Africa, 0, 0, 0, 0
2020-03-02T00:00:00Z, South Africa, 0, 0, 0, 0
2020-03-03T00:00:00Z, South Africa, 0, 0, 0, 0
2020-03-04T00:00:00Z, South Africa, 0, 0, 0, 0
2020-03-05T00:00:00Z, South Africa, 1, 0, 0, 1
2020-03-06T00:00:00Z, South Africa, 1, 0, 0, 1
2020-03-07T00:00:00Z, South Africa, 1, 0, 0, 1
2020-03-08T00:00:00Z, South Africa, 3, 0, 0, 3
2020-03-09T00:00:00Z, South Africa, 3, 0, 0, 3
2020-03-10T00:00:00Z, South Africa, 7, 0, 0, 7
2020-03-11T00:00:00Z, South Africa, 13, 0, 0, 13
2020-03-12T00:00:00Z, South Africa, 17, 0, 0, 17
2020-03-13T00:00:00Z, South Africa, 24, 0, 0, 24
2020-03-14T00:00:00Z, South Africa, 38, 0, 0, 38
2020-03-15T00:00:00Z, South Africa, 51, 0, 0, 51
2020-03-16T00:00:00Z, South Africa, 62, 0, 0, 62
2020-03-17T00:00:00Z, South Africa, 62, 0, 0, 62
2020-03-18T00:00:00Z, South Africa, 116, 0, 0, 116
2020-03-19T00:00:00Z, South Africa, 150, 0, 0, 150
2020-03-20T00:00:00Z, South Africa, 202, 0, 0, 202
2020-03-21T00:00:00Z, South Africa, 240, 0, 0, 240
2020-03-22T00:00:00Z, South Africa, 274, 0, 0, 274
2020-03-23T00:00:00Z, South Africa, 402, 0, 0, 402
2020-03-24T00:00:00Z, South Africa, 554, 0, 4, 550
2020-03-25T00:00:00Z, South Africa, 709, 0, 12, 697
2020-03-26T00:00:00Z, South Africa, 927, 0, 12, 915
2020-03-27T00:00:00Z, South Africa, 1170, 1, 31, 1138
2020-03-28T00:00:00Z, South Africa, 1187, 1, 31, 1155
2020-03-29T00:00:00Z, South Africa, 1280, 2, 31, 1247
2020-03-30T00:00:00Z, South Africa, 1326, 3, 31, 1292
2020-03-31T00:00:00Z, South Africa, 1353, 5, 31, 1317
2020-04-01T00:00:00Z, South Africa, 1380, 5, 50, 1325
